SAMPLING EVENT IDENTIFIER,COMMON NAME,OBSERVATION COUNT
S80515982,Common Raven,2
S80515982,Northern Harrier,1
S80515982,Mourning Dove,6
S80515982,Winter Wren,1
S80515982,Gadwall,30
S80515982,American Goldfinch,2
S80515982,Northern Flicker,2
S80515982,Ruby-crowned Kinglet,2
S80515982,Great Blue Heron,1
S80515982,Carolina Chickadee,4
S80515982,Turkey Vulture,1
S80515982,Tufted Titmouse,2
S80492612,Northern Harrier,1
S80492612,Mallard,2
S80492612,Dark-eyed Junco,10
S80492612,Red-winged Blackbird,40
S80492612,Bald Eagle,3
S80492612,duck sp.,3
S80492612,Western/Eastern Meadowlark,5
S80492612,Northern Flicker,1
S80492612,Horned Lark,6
S80492612,Mourning Dove,14
S80492612,Northern Cardinal,2
S80492612,Red-tailed Hawk,1
S80492612,Bufflehead,2
S80492612,sparrow sp.,1
S80492612,Northern Pintail,2
S80492612,Western Meadowlark,2
S80492612,Green-winged Teal,20
S80651733,Tufted Titmouse,1
S80651733,Northern Cardinal,1
S80651733,Carolina/Black-capped Chickadee,1
S80651733,Great Blue Heron,1
S80651733,Eastern Phoebe,1
S80651733,Swamp Sparrow,3
S80651733,Blue Jay,2
S80651733,Song Sparrow,11
S80651733,American Goldfinch,1
S80651733,American Crow,1
S80551172,Mourning Dove,3
S80551172,Dark-eyed Junco,4
S80551172,Tufted Titmouse,1
S80551172,Downy Woodpecker,1
S80600130,Pine Siskin,1
S80559851,Bald Eagle,1
S80559851,Northern Harrier,1
S80559851,Canada Goose,1
S80559851,American Kestrel,2
S80559851,Red-bellied Woodpecker,1
S80559851,Harris's Sparrow,10
S80559851,Common Goldeneye,12
S80559851,Carolina Wren,2
S80559851,Hairy Woodpecker,1
S80559851,American Tree Sparrow,150
S80559851,Red-winged Blackbird,1
S80559851,Downy Woodpecker,5
S80559851,Golden Eagle,2
S80559851,Great Blue Heron,5
S80559851,Northern Flicker,2
S80559851,White-crowned Sparrow,20
S80559851,Winter Wren,2
S80559851,Field Sparrow,1
S80559851,Song Sparrow,75
S80559851,Green-winged Teal,25
S80559851,Northern Cardinal,5
S80653403,Yellow-bellied Sapsucker,1
S80653403,Ruby-crowned Kinglet,2
S80653403,Golden-crowned Kinglet,1
S80653403,Field Sparrow,1
S80653403,Tufted Titmouse,1
S80653403,Eastern Phoebe,1
S80653403,Blue Jay,1
S80653403,Carolina Chickadee,2
S80653403,Turkey Vulture,4
S80653403,American Goldfinch,1
S80653403,Carolina Wren,1
S80653403,Song Sparrow,10
S80653403,American Crow,4
S80653403,Northern Flicker,1
S80653403,Swamp Sparrow,3
S80653403,Gadwall,13
S80653403,Downy Woodpecker,1
S80601379,Northern Harrier,1
S80601379,Eastern Phoebe,1
S80601379,Turkey Vulture,6
S80601379,Winter Wren,1
S80601379,Common Raven,1
S80601379,Killdeer,5
S80601379,Swamp Sparrow,19
S80601379,Song Sparrow,8
S80601379,American Pipit,26
S80601379,Mallard,7
S80601379,Red-shouldered Hawk,1
S80601379,Gadwall,8
S80601379,Red-tailed Hawk,1
S80601379,Common Redpoll,1
S80601379,American Black Duck,3
S80601379,Tufted Titmouse,1
S80601379,Black Vulture,1
S80601379,American Crow,2
S80601379,Carolina Wren,1
S80601379,Pileated Woodpecker,1
S80603674,Gadwall,8
S80603674,American Crow,2
S80603674,Tufted Titmouse,1
S80603674,American Pipit,26
S80603674,American Black Duck,3
S80603674,Red-tailed Hawk,1
S80603674,Red-shouldered Hawk,1
S80603674,Swamp Sparrow,19
S80603674,Common Raven,1
S80603674,Song Sparrow,8
S80603674,Pileated Woodpecker,1
S80603674,Black Vulture,1
S80603674,Turkey Vulture,6
S80603674,Carolina Wren,1
S80603674,Eastern Phoebe,1
S80603674,Winter Wren,1
S80603674,Common Redpoll,1
S80603674,Northern Harrier,1
S80603674,Mallard,7
S80603674,Killdeer,5
S80604601,Sandhill Crane,1
S80604601,Eastern Meadowlark,2
S80604601,Canada Goose,145
S80604601,House Sparrow,2
S80604601,Great Blue Heron,1
S80604601,American Kestrel,1
S80604601,Hooded Merganser,2
S80604601,Song Sparrow,1
S80604601,Mourning Dove,3
S80719839,Northern Cardinal,4
S80719839,Blue Jay,5
S80719839,American Black Duck,2
S80719839,Ruby-crowned Kinglet,1
S80719839,Mallard,8
S80719839,Carolina Wren,3
S80719839,Red-bellied Woodpecker,1
S80719839,Turkey Vulture,2
S80719839,House Finch,4
S80606174,Song Sparrow,1
S80606174,Pine Siskin,5
S80606174,Dark-eyed Junco,2
S80606174,Northern Mockingbird,1
S80606174,White-throated Sparrow,5
S80606174,House Finch,5
S80606174,Northern Cardinal,2
S80606174,American Goldfinch,11
S80606174,Mourning Dove,1
S80606174,Chipping Sparrow,1
S80606174,Yellow-rumped Warbler,2
S80606174,Brown-headed Cowbird,11
S80606174,Carolina Wren,1
S80606174,Eastern Bluebird,1
S80579769,Hairy Woodpecker,1
S80625936,Mountain Bluebird,6
S80671200,Carolina Wren,1
S80671200,House Finch,6
S80671200,Mourning Dove,1
S80671200,Red-tailed Hawk,1
S80671200,White-throated Sparrow,3
S80671200,European Starling,5
S80671200,Red-bellied Woodpecker,1
S80671200,Dark-eyed Junco,3
S80671200,Northern Cardinal,14
S80671200,Downy Woodpecker,1
S80671200,American Goldfinch,1
S80671200,Blue Jay,1
S80671200,Carolina Chickadee,1
S80671200,Tufted Titmouse,1
S80670641,Spotted Towhee,1
S80670641,Northern Pintail,200
S80670641,Northern Cardinal,4
S80670641,Ring-billed Gull,5
S80670641,Pied-billed Grebe,2
S80670641,Mallard,600
S80670641,Common Goldeneye,1
S80435675,Acorn Woodpecker,12
S80435675,Varied Thrush,1
S80435675,blackbird sp.,50
S80435675,American Dipper,1
S80435675,California Scrub-Jay,3
S80435675,Dark-eyed Junco,20
S80435675,Oak Titmouse,3
S80435675,Red-tailed Hawk,1
S80435675,Turkey Vulture,8
S80435675,Black Phoebe,2
S80435675,Steller's Jay,2
S80435675,Mallard,2
S80435675,American Kestrel,1
S80435675,Wilson's Snipe,1
S80435675,Northern Mockingbird,1
S80670222,Bald Eagle,1
S80670222,Canada Goose,24
S80670222,Carolina Chickadee,1
S80697617,Dark-eyed Junco,5
S80697617,Great Blue Heron,1
S80697617,Downy Woodpecker,2
S80697617,Northern Cardinal,2
S80697617,Blue Jay,3
S80697617,Northern Harrier,1
S80697617,Gadwall,11
S80697617,Carolina Chickadee,2
S80697617,Swamp Sparrow,10
S80697617,Carolina Wren,1
S80697617,Mourning Dove,4
S80697617,Northern Mockingbird,2
S80697617,Ruby-crowned Kinglet,1
S80697617,Song Sparrow,8
S80697617,American Crow,11
S80697617,Bald Eagle,1
S80697617,Tufted Titmouse,3
S80697617,Northern Flicker,1
S80561808,American Black Duck,1
S80561808,Northern Cardinal,5
S80561808,Song Sparrow,3
S80561808,Turkey Vulture,5
S80561808,Canada Goose,46
S80561808,Northern Mockingbird,1
S80561808,White-throated Sparrow,3
S80561808,Black Vulture,3
S80561808,American Crow,1
S80561808,Carolina Wren,2
S80561808,Red-tailed Hawk,1
S80561808,House Finch,2
S80561808,Mallard,19
S80561808,Mourning Dove,2
S80561808,Blue Jay,5
S80561808,Brown Thrasher,1
S80674372,Ruby-crowned Kinglet,2
S80674372,Gadwall,6
S80674372,Red-bellied Woodpecker,1
S80674372,Northern Cardinal,1
S80674372,Turkey Vulture,1
S80674372,Song Sparrow,5
S80674372,Swamp Sparrow,1
S80674372,Tufted Titmouse,2
S80674372,Black-capped Chickadee,1
S80674372,American Goldfinch,1
S80674372,Eastern Phoebe,1
S80674372,American Crow,4
S80674372,Carolina Wren,2
S80674372,Pileated Woodpecker,1
S80555285,Red-tailed Hawk,4
S80555285,Tufted Titmouse,6
S80555285,Eastern Meadowlark,10
S80555285,Northern Cardinal,1
S80555285,Carolina Chickadee,1
S80555285,Northern Flicker,1
S80555285,Blue Jay,2
S80555285,Red-headed Woodpecker,1
S80458677,Northern Flicker,1
S80458677,Carolina Chickadee,4
S80458677,Mallard,23
S80458677,Gadwall,10
S80458677,American Crow,3
S80458677,American Tree Sparrow,4
S80458677,White-throated Sparrow,3
S80458677,Red-shouldered Hawk,1
S80458677,Eastern Phoebe,1
S80458677,Turkey Vulture,2
S80458677,Carolina Wren,2
S80458677,Song Sparrow,6
S80661366,Carolina Chickadee,1
S80661366,Winter Wren,1
S80661366,American Black Duck,1
S80661366,Red-bellied Woodpecker,2
S80661366,Song Sparrow,31
S80661366,Carolina Wren,2
S80661366,Eastern Phoebe,1
S80661366,Swamp Sparrow,4
S80661366,American Crow,1
S80661366,Field Sparrow,2
S80661366,White-throated Sparrow,5
S80661366,Northern Cardinal,5
S80661366,Tufted Titmouse,3
S80661366,Black-capped Chickadee,1
S80661366,Pileated Woodpecker,1
S80661366,Turkey Vulture,5
S80661366,Gadwall,5
S81605414,Red-bellied Woodpecker,2
S81605414,Song Sparrow,31
S81605414,Northern Cardinal,5
S81605414,Swamp Sparrow,4
S81605414,Gadwall,5
S81605414,Pileated Woodpecker,1
S81605414,American Crow,1
S81605414,Turkey Vulture,5
S81605414,Tufted Titmouse,3
S81605414,American Black Duck,1
S81605414,Carolina Wren,2
S81605414,Eastern Phoebe,1
S81605414,White-throated Sparrow,5
S81605414,Carolina Chickadee,1
S81605414,Winter Wren,1
S81605414,Black-capped Chickadee,1
S81605414,Field Sparrow,2
S80289899,California Gull,20
S80289899,White-crowned Sparrow,10
S80289899,Turkey Vulture,1
S80289899,Western Bluebird,2
S80289899,California Scrub-Jay,2
S80289899,White-throated Swift,20
S80289899,Northern Mockingbird,1
S80289899,gull sp.,60
S80289899,House Finch,1
S80289899,Bushtit,5
S80289899,Anna's Hummingbird,3
S80289899,Ruby-crowned Kinglet,1
S80289899,Yellow-rumped Warbler,10
S80289899,Black Phoebe,1
S80289899,American Kestrel,1
S80609192,Tufted Titmouse,1
S80609192,Swamp Sparrow,10
S80609192,American Pipit,5
S80609192,American Crow,16
S80609192,Song Sparrow,15
S80609192,Red-bellied Woodpecker,1
S80609192,Common Raven,1
S80609192,Blue Jay,1
S80609192,Northern Cardinal,1
S80609192,Field Sparrow,1
S80609192,Northern Flicker,1
S80609192,Turkey Vulture,1
S80609192,Black-capped Chickadee,1
S80609192,Carolina Wren,1
S80660949,European Starling,2
S80660949,Eurasian Collared-Dove,1
S80341175,American Crow,2
S80341175,Chestnut-backed Chickadee,1
S80341175,Cedar Waxwing,12
S80341175,Eurasian Collared-Dove,3
S80341175,House Finch,1
S80515101,Ring-billed Gull,14
S80515101,Mallard,3
S80515101,Surf Scoter,6
S80515101,Herring Gull,76
S80515101,Ruddy Duck,1
S80515101,Common Loon,3
S80515101,Bufflehead,22
S80274930,White-breasted Nuthatch,1
S80274930,Canada Goose,105
S80274930,Mallard,16
S80274930,Blue Jay,1
S80274930,Cackling Goose,25
S80274930,Eastern Bluebird,4
S80274930,Pied-billed Grebe,9
S80274930,Ring-billed Gull,57
S80274930,Common Goldeneye,5
S80274930,American Coot,34
S80274930,Gadwall,16
S80274930,American Robin,5
S80274930,Greater/Lesser Scaup,3
S80274930,American Crow,3
S80327406,American Crow,2
S80327406,Downy Woodpecker,1
S80327406,White-breasted Nuthatch,1
S80327406,Carolina Wren,2
S80327406,Blue Jay,1
S80327406,Red-bellied Woodpecker,1
S80327406,Red-shouldered Hawk,1
S80327406,Red-breasted Nuthatch,2
S80361970,Black-crowned Night-Heron,1
S80361970,Townsend's Warbler,2
S80337900,European Starling,75
S80337900,Black Phoebe,1
S80337900,Pied-billed Grebe,1
S80337900,Ruddy Duck,4
S80337900,American Kestrel,1
S80337900,Double-crested Cormorant,1
S80337900,Canvasback,25
S80337900,Tundra Swan,4
S80337900,Greater/Lesser Scaup,3
S80397824,Pied-billed Grebe,1
S80397824,Tundra Swan,4
S80397824,Greater/Lesser Scaup,3
S80397824,Ruddy Duck,4
S80397824,Canvasback,25
S80397824,Black Phoebe,1
S80397824,American Kestrel,1
S80397824,European Starling,75
S80397824,Double-crested Cormorant,1
S80717412,Eastern Meadowlark,8
S80717412,Yellow-rumped Warbler,2
S80717412,Pine Warbler,2
S80717412,Red-bellied Woodpecker,1
S80717412,Eastern Bluebird,1
S80717412,Yellow-bellied Sapsucker,1
S80717412,Northern Cardinal,1
S80717412,Carolina Wren,1
S80717412,Tufted Titmouse,1
S80533635,Eastern Meadowlark,3
S80533635,European Starling,4
S80508767,Bufflehead,31
S80508767,Red-breasted Merganser,6
S80508767,Surf Scoter,138
S80508767,Ruddy Duck,369
S80508767,Horned Grebe,14
S80508767,Hooded Merganser,14
S80508767,Common Loon,4
S80724830,Hairy Woodpecker,1
S80703156,Black-crowned Night-Heron,1
S81276227,Eastern Bluebird,2
S81276227,Carolina Chickadee,5
S81276227,American Crow,4
S81276227,Blue Jay,2
S81276227,Downy Woodpecker,3
S81276227,Northern Flicker,1
S81276227,Pileated Woodpecker,3
S81276227,Golden-crowned Kinglet,6
S81276227,White-breasted Nuthatch,2
S81276227,Purple Finch,1
S81276227,Red-bellied Woodpecker,2
S81276227,Dark-eyed Junco,30
S81276227,Song Sparrow,2
S81276227,Hairy Woodpecker,1
S81276227,American Robin,5
S81276227,Tufted Titmouse,2
S81276227,Northern Cardinal,2
S81276227,Brown Creeper,4
S80659343,American Goldfinch,4
S80659343,Dark-eyed Junco,5
S80659343,European Starling,1
S80659343,Hairy Woodpecker,1
S80659343,White-breasted Nuthatch,1
S80659343,White-throated Sparrow,2
S80659343,Downy Woodpecker,1
S80659343,Carolina Chickadee,1
S80659343,Purple Finch,1
S80659343,Carolina Wren,1
S80659343,Tufted Titmouse,1
S80659343,Red-bellied Woodpecker,1
S80659343,Mourning Dove,1
S80659343,Northern Cardinal,2
S80659343,Red-breasted Nuthatch,1
S80254202,Downy Woodpecker,1
S80254202,American Crow,12
S80254202,Red-bellied Woodpecker,2
S80254202,Green-winged Teal,3
S80254202,Great Blue Heron,2
S80254202,Canada Goose,130
S80254202,Pileated Woodpecker,1
S80254202,American Robin,5
S80254202,Cackling Goose,3
S80254202,Mallard,22
S80254202,Northern Cardinal,4
S80254202,Eastern Bluebird,9
S80254202,Tufted Titmouse,5
S80254202,White-throated Sparrow,3
S80254202,European Starling,100
S80254202,Gadwall,2
S80254202,Belted Kingfisher,1
S80254202,Carolina Wren,3
S80254202,American White Pelican,6
S80254202,Carolina Chickadee,6
S80598443,Turkey Vulture,8
S80598443,Carolina Wren,3
S80598443,Downy Woodpecker,1
S80598443,Killdeer,1
S80598443,American Goldfinch,1
S80598443,Gadwall,1
S80598443,Black-capped Chickadee,3
S80598443,American Pipit,10
S80598443,Red-tailed Hawk,1
S80598443,Blue Jay,2
S80598443,Red-shouldered Hawk,2
S80598443,Golden-crowned Kinglet,1
S80598443,Common Redpoll,1
S80598443,Song Sparrow,25
S80598443,American Crow,5
S80598443,Field Sparrow,10
S80598443,Tufted Titmouse,2
S80598443,Evening Grosbeak,1
S80598443,Carolina Chickadee,5
S80598443,Eastern Phoebe,2
S80598443,White-throated Sparrow,8
S80598443,Northern Cardinal,6
S80598443,Winter Wren,4
S80598443,Northern Flicker,1
S80598443,Swamp Sparrow,20
S80598443,Pileated Woodpecker,1
S80598442,Northern Cardinal,6
S80598442,Northern Flicker,1
S80598442,Carolina Chickadee,5
S80598442,Turkey Vulture,8
S80598442,Song Sparrow,25
S80598442,Pileated Woodpecker,1
S80598442,Red-shouldered Hawk,2
S80598442,Gadwall,1
S80598442,Killdeer,1
S80598442,Red-tailed Hawk,1
S80598442,Eastern Phoebe,2
S80598442,Common Redpoll,1
S80598442,Evening Grosbeak,1
S80598442,Blue Jay,2
S80598442,Black-capped Chickadee,3
S80598442,American Crow,5
S80598442,Winter Wren,4
S80598442,Field Sparrow,10
S80598442,Tufted Titmouse,2
S80598442,Carolina Wren,3
S80598442,Golden-crowned Kinglet,1
S80598442,Swamp Sparrow,20
S80598442,American Pipit,10
S80598442,American Goldfinch,1
S80598442,White-throated Sparrow,8
S80598442,Downy Woodpecker,1
S80534608,Short-billed Gull,1
S80534608,Northern Mockingbird,2
S80534608,Dunlin,30
S80534608,Ruddy Duck,80
S80534608,Short-billed Dowitcher,20
S80534608,Double-crested Cormorant,3
S80534608,Black-necked Stilt,3
S80534608,Forster's Tern,9
S80534608,Horned Grebe,2
S80534608,California Gull,3
S80534608,Anna's Hummingbird,1
S80534608,Short-billed/Long-billed Dowitcher,50
S80534608,Black Phoebe,1
S80534608,Black Turnstone,4
S80534608,Long-billed Curlew,1
S80534608,Willet,40
S80534608,Great Blue Heron,1
S80534608,Golden-crowned Sparrow,5
S80534608,White-crowned Sparrow,2
S80534608,Canada Goose,4
S80534608,Black-bellied Plover,50
S80534608,Bufflehead,50
S80534608,American Coot,30
S80534608,Green-winged Teal,30
S80534608,American Crow,2
S80534608,Lesser Scaup,5
S80534608,American Wigeon,20
S80534608,Least Sandpiper,50
S80534608,Greater Scaup,4
S80534608,Western Sandpiper,80
S80534608,Herring Gull,2
S80534608,Greater Yellowlegs,2
S80534608,Savannah Sparrow,1
S80534608,Marbled Godwit,45
S80534608,Ring-billed Gull,9
S80534608,Common Raven,3
S80534608,Snowy Egret,2
S80534608,Bushtit,4
S80534608,Great Egret,1
S80534608,Western Gull,3
S80534608,Eared Grebe,2
S80534608,California Towhee,2
S80534608,American Avocet,120
S80280341,Mountain Chickadee,2
S80280341,Eurasian Collared-Dove,9
S80280341,House Finch,30
S80280341,White-winged Dove,5
S80280341,White-breasted Nuthatch,2
S80280341,Black-billed Magpie,2
S80280341,Lesser Goldfinch,2
S80280341,Spotted Towhee,2
S80280341,Dark-eyed Junco,30
S80280341,Song Sparrow,1
S80280341,Woodhouse's Scrub-Jay,2
S80280341,White-crowned Sparrow,15
S80280341,American Goldfinch,9
S80280341,Northern Flicker,1
S80280341,House Sparrow,30
S99998478,Spotted Towhee,2
S99998478,White-breasted Nuthatch,2
S99998478,White-winged Dove,5
S99998478,House Finch,30
S99998478,Song Sparrow,1
S99998478,House Sparrow,30
S99998478,Woodhouse's Scrub-Jay,2
S99998478,Lesser Goldfinch,2
S99998478,Eurasian Collared-Dove,9
S99998478,White-crowned Sparrow,15
S99998478,Black-billed Magpie,2
S99998478,Dark-eyed Junco,30
S99998478,American Goldfinch,9
S99998478,Mountain Chickadee,2
S99998478,Northern Flicker,1
S80324988,White-winged Dove,8
S80324988,Dark-eyed Junco,40
S80324988,House Finch,47
S80324988,Eurasian Collared-Dove,8
S80324988,White-crowned Sparrow,10
S80324988,House Sparrow,30
S80324988,European Starling,5
S80324988,Black-billed Magpie,3
S80324988,Northern Flicker,6
S80324988,Common Raven,1
S80324988,White-breasted Nuthatch,1
S80324988,American Goldfinch,15
S80324988,Lesser Goldfinch,1
S80324988,Canada Goose,X
S80324988,American Kestrel,1
S80324988,Mountain Chickadee,2
S80324988,Pine Siskin,2
S80324988,Spotted Towhee,3
S80324988,Woodhouse's Scrub-Jay,2
S99998479,Canada Goose,X
S99998479,Woodhouse's Scrub-Jay,2
S99998479,European Starling,5
S99998479,White-winged Dove,8
S99998479,House Finch,47
S99998479,Black-billed Magpie,3
S99998479,House Sparrow,30
S99998479,Spotted Towhee,3
S99998479,Lesser Goldfinch,1
S99998479,White-crowned Sparrow,10
S99998479,Mountain Chickadee,2
S99998479,American Kestrel,1
S99998479,White-breasted Nuthatch,1
S99998479,Eurasian Collared-Dove,8
S99998479,Common Raven,1
S99998479,American Goldfinch,15
S99998479,Northern Flicker,6
S99998479,Dark-eyed Junco,40
S99998479,Pine Siskin,2
S80434863,Common Raven,3
S80434863,Spotted Towhee,2
S80434863,White-breasted Nuthatch,2
S80434863,House Sparrow,30
S80434863,Dark-eyed Junco,30
S80434863,Red-winged Blackbird,2
S80434863,Black-billed Magpie,3
S80434863,Woodhouse's Scrub-Jay,2
S80434863,American Goldfinch,5
S80434863,Mountain Chickadee,3
S80434863,Lesser Goldfinch,3
S80434863,House Finch,20
S80434863,Canada Goose,2
S80434863,Eurasian Collared-Dove,1
S80434863,Fox Sparrow,1
S80434863,Northern Flicker,3
S80434863,White-winged Dove,9
S80434863,Pine Siskin,2
S80434863,White-crowned Sparrow,20
S99998492,House Finch,20
S99998492,Common Raven,3
S99998492,Canada Goose,2
S99998492,Lesser Goldfinch,3
S99998492,Red-winged Blackbird,2
S99998492,White-crowned Sparrow,20
S99998492,Spotted Towhee,2
S99998492,Pine Siskin,2
S99998492,Eurasian Collared-Dove,1
S99998492,Fox Sparrow,1
S99998492,White-winged Dove,9
S99998492,Mountain Chickadee,3
S99998492,Dark-eyed Junco,30
S99998492,White-breasted Nuthatch,2
S99998492,Woodhouse's Scrub-Jay,2
S99998492,American Goldfinch,5
S99998492,House Sparrow,30
S99998492,Northern Flicker,3
S99998492,Black-billed Magpie,3
S80466972,White-crowned Sparrow,10
S80466972,Dark-eyed Junco,24
S80466972,White-breasted Nuthatch,1
S80466972,House Finch,9
S80466972,Pine Siskin,1
S80466972,Lesser Goldfinch,3
S80466972,Black-billed Magpie,1
S80466972,House Sparrow,20
S80466972,American Goldfinch,3
S80466972,Eurasian Collared-Dove,1
S80466972,Woodhouse's Scrub-Jay,2
S80466972,Mountain Chickadee,2
S80466972,White-winged Dove,10
S80466972,Northern Flicker,4
S80466972,Song Sparrow,1
S80466972,Spotted Towhee,2
S99998493,White-crowned Sparrow,10
S99998493,Northern Flicker,4
S99998493,House Sparrow,20
S99998493,Woodhouse's Scrub-Jay,2
S99998493,White-breasted Nuthatch,1
S99998493,Spotted Towhee,2
S99998493,Mountain Chickadee,2
S99998493,House Finch,9
S99998493,Pine Siskin,1
S99998493,Eurasian Collared-Dove,1
S99998493,Lesser Goldfinch,3
S99998493,Song Sparrow,1
S99998493,Black-billed Magpie,1
S99998493,White-winged Dove,10
S99998493,American Goldfinch,3
S99998493,Dark-eyed Junco,24
S80511150,Woodhouse's Scrub-Jay,1
S80511150,Dark-eyed Junco,30
S80511150,Northern Flicker,6
S80511150,House Sparrow,12
S80511150,Lesser Goldfinch,3
S80511150,Spotted Towhee,3
S80511150,White-winged Dove,1
S80511150,American Goldfinch,3
S80511150,European Starling,3
S80511150,Eurasian Collared-Dove,1
S80511150,White-crowned Sparrow,21
S80511150,Townsend's Solitaire,1
S80511150,Black-billed Magpie,1
S80511150,White-breasted Nuthatch,2
S80511150,Mountain Chickadee,1
S80511150,House Finch,15
S99998494,Woodhouse's Scrub-Jay,1
S99998494,Townsend's Solitaire,1
S99998494,White-winged Dove,1
S99998494,Black-billed Magpie,1
S99998494,Dark-eyed Junco,30
S99998494,Mountain Chickadee,1
S99998494,European Starling,3
S99998494,Northern Flicker,6
S99998494,Lesser Goldfinch,3
S99998494,American Goldfinch,3
S99998494,Eurasian Collared-Dove,1
S99998494,Spotted Towhee,3
S99998494,White-breasted Nuthatch,2
S99998494,House Finch,15
S99998494,House Sparrow,12
S99998494,White-crowned Sparrow,21
S80517295,Downy Woodpecker,2
S80517295,House Finch,8
S80517295,American Crow,3
S80517295,House Sparrow,2
S80517295,Dark-eyed Junco,6
S80328574,Brewer's Blackbird,100
S80328574,American Kestrel,1
S80328574,Turkey Vulture,1
S80328574,European Starling,100
S80328574,Mourning Dove,5
S80328574,Red-winged Blackbird,100
S80328574,Red-tailed Hawk,1
S80328574,Anna's Hummingbird,1
S80328574,American Crow,5
S80328574,Savannah Sparrow,25
S80328574,Rock Wren,2
S80328574,Yellow-billed Magpie,6
S80328574,Western Meadowlark,2
S80473755,Turkey Vulture,3
S80473755,Cooper's Hawk,1
S85678995,Northern Cardinal,2
S85678995,Bufflehead,5
S85678995,Northern Mockingbird,1
S85678995,Ring-billed Gull,1
S80676104,American Crow,1
S80676104,Cooper's Hawk,1
S80676104,Pygmy Nuthatch,2
S80676104,House Finch,1
S80676104,Anna's Hummingbird,1
S80676104,Western Bluebird,2
S80676104,Yellow-rumped Warbler,5
S80641655,American Crow,1
S80641655,American Robin,1
S80641655,Yellow-bellied Sapsucker,1
S80641655,Tufted Titmouse,1
S80641655,House Sparrow,3
S80641655,Blue Jay,4
S80641655,Song Sparrow,4
S80641655,Mourning Dove,2
S80641655,Carolina Wren,1
S80641655,European Starling,37
S80641655,House Finch,3
S80504957,California Towhee,1
S80504957,Mourning Dove,3
S80504957,American Crow,5
S80504957,Chestnut-backed Chickadee,2
S80504957,Yellow-rumped Warbler,1
S80504957,California Scrub-Jay,1
S80504957,House Finch,6
S80504957,Dark-eyed Junco,1
S80504957,Lesser Goldfinch,1
S80504957,Bewick's Wren,1
S80504957,Pine Siskin,1
S80504957,House Sparrow,6
S80477315,Golden Eagle,1
S80477315,Red-tailed Hawk,2
S80477315,Turkey Vulture,1
S80582805,House Finch,10
S80582805,Downy Woodpecker,1
S80715785,European Starling,1
S80715785,Northern Mockingbird,1
S80715785,White-throated Sparrow,3
S80715785,American Crow,2
S80715785,Carolina Chickadee,1
S80715785,American Goldfinch,1
S80715785,Brown Creeper,1
S80715785,Blue Jay,1
S80715785,White-breasted Nuthatch,1
S80715785,Downy Woodpecker,2
S80715785,Northern Cardinal,5
S80715785,Mourning Dove,1
S80715785,Purple Finch,1
S80715785,Red-bellied Woodpecker,1
S80715785,Red-breasted Nuthatch,2
S80715785,Carolina Wren,2
S80715785,Tufted Titmouse,2
S80715785,Dark-eyed Junco,2
S80715785,Fox Sparrow,1
S80687162,Black-crowned Night-Heron,1
S80687162,Snowy Plover,1
S80687162,Marbled Murrelet,2
S80687162,California Gull,30
S80687162,Herring Gull,9
S80687162,Western x Glaucous-winged Gull (hybrid),3
S80687162,Greater White-fronted Goose,4
S80687162,Western Grebe,18
S80687162,Surf Scoter,24
S80687162,Brandt's Cormorant,2
S80687162,Killdeer,2
S80687162,Herring x Glaucous-winged Gull (hybrid),7
S80687162,Mallard,18
S80687162,European Starling,4
S80687162,Iceland Gull,4
S80687162,American Coot,8
S80687162,Western Gull,10
S80687162,Black Phoebe,1
S80687162,Eurasian Collared-Dove,2
S80687162,Snowy Egret,1
S80687162,American Crow,2
S80687162,Red-tailed Hawk,1
S80687162,Red-throated Loon,1
S80687162,House Finch,4
S80687162,Great Egret,1
S80687162,Short-billed Gull,4
S80687162,Common Raven,4
S80687162,Glaucous-winged Gull,45
S80286620,Blue Jay,2
S80286620,Carolina Wren,2
S80286620,American Crow,1
S80286620,Canada Goose,2
S80286620,Hermit Thrush,1
S80286620,Downy Woodpecker,1
S80286620,Turkey Vulture,1
S80286620,Mallard,7
S80286620,Northern Shoveler,1
S80286620,Red-bellied Woodpecker,1
S80286620,Gadwall,11
S80286620,Black Vulture,3
S80286620,Mourning Dove,1
S80286620,Chipping Sparrow,1
S80286620,Ring-necked Duck,33
S80286620,Carolina Chickadee,1
S80286620,Northern Flicker,1
S80286620,Red-tailed Hawk,2
S80286620,Northern Cardinal,1
S80286620,Eastern Towhee,1
S80286620,Pied-billed Grebe,1
S80286620,White-breasted Nuthatch,1
S80286620,Eastern Bluebird,2
S80286620,Bufflehead,1
S80286620,Song Sparrow,3
S80286620,Dark-eyed Junco,7
S80286620,Hooded Merganser,1
S80279243,American Goldfinch,1
S80535745,American Kestrel,1
S80500129,American Kestrel,1
S80574889,Fox Sparrow,1
S80574889,Carolina Wren,1
S80574889,Red-bellied Woodpecker,1
S80574889,White-breasted Nuthatch,1
S80574889,Dark-eyed Junco,2
S80574889,Tufted Titmouse,1
S80574889,Downy Woodpecker,1
S80574889,Carolina Chickadee,1
S80574889,Song Sparrow,1
S80574889,American Goldfinch,1
S80574889,White-throated Sparrow,5
S80661314,Yellow-rumped Warbler,3
S80661314,Downy Woodpecker,1
S80661314,Pine Warbler,1
S80661314,Carolina Chickadee,1
S80661314,Carolina Wren,1
S80661314,Red-breasted Nuthatch,1
S80661314,White-throated Sparrow,1
S80661314,Eastern Towhee,1
